ダウンロードした時刻：2025/04/21 18:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2024,3,6,10,8,1,6.7,8,1,8,1,3.9,8,0,8,1,4,8,9.9,8,1,11.3,8,5.9,8,1,1.8,8
2024,3,7,10,8,1,6.8,8,0,8,1,3.8,8,6.4,8,1,4.1,8,10.6,8,1,11.5,8,4.8,8,1,1.8,8
2024,3,8,10,8,1,6.9,8,1.5,8,1,3.8,8,1,8,1,4.1,8,8.4,8,1,11.6,8,4.2,8,1,1.9,8
2024,3,9,10,8,1,7,8,3,8,1,3.8,8,2,8,1,4.2,8,7.2,8,1,11.7,8,-1.7,8,1,2,8
2024,3,10,10,8,1,7.1,8,0,8,1,3.8,8,9.6,8,1,4.3,8,11,8,1,11.9,8,-3.4,8,1,2,8
2024,3,11,10,8,1,7.2,8,4,8,1,3.8,8,6.1,8,1,4.4,8,15.2,8,1,12,8,0.3,8,1,2,8
2024,3,12,10,8,1,7.3,8,10.5,8,1,3.8,8,0.2,8,1,4.5,8,10.9,8,1,12.2,8,6.1,8,1,2.1,8
2024,3,13,10,8,1,7.4,8,0,8,1,3.8,8,10.8,8,1,4.6,8,11.7,8,1,12.4,8,6,8,1,2.2,8
2024,3,14,10,8,1,7.5,8,0,8,1,3.9,8,10,8,1,4.7,8,14.4,8,1,12.5,8,3,8,1,2.2,8
2024,3,15,10,8,1,7.7,8,0,8,1,4,8,11.1,8,1,4.7,8,16.6,8,1,12.7,8,1.9,8,1,2.3,8
2024,3,16,10,8,1,7.8,8,0,8,1,4,8,11.2,8,1,4.8,8,18.6,8,1,12.9,8,3,8,1,2.4,8
2024,3,17,10,8,1,7.9,8,0,8,1,4.1,8,3,8,1,4.8,8,17.8,8,1,13,8,6.7,8,1,2.5,8
2024,3,18,10,8,1,8,8,0,8,1,4.1,8,8.7,8,1,4.8,8,10.3,8,1,13.2,8,3.6,8,1,2.6,8
2024,3,19,10,8,1,8.2,8,1.5,8,1,4.1,8,3.9,8,1,4.9,8,13.8,8,1,13.3,8,2.2,8,1,2.7,8
2024,3,20,10,8,1,8.3,8,11,8,1,4.1,8,0.4,8,1,4.9,8,10.6,8,1,13.4,8,0.2,8,1,2.8,8
2024,3,21,10,8,1,8.4,8,0,8,1,4.1,8,1.8,8,1,4.9,8,8.2,8,1,13.5,8,-0.2,8,1,2.8,8
2024,3,22,10,8,1,8.5,8,0,8,1,4.1,8,9.4,8,1,4.9,8,14.5,8,1,13.6,8,-1.8,8,1,2.9,8
2024,3,23,10,8,1,8.6,8,5,8,1,4.1,8,1.1,8,1,4.9,8,17.1,8,1,13.7,8,10.3,8,1,3,8
2024,3,24,10,8,1,8.7,8,1.5,8,1,4.1,8,0,8,1,5,8,12.4,8,1,13.8,8,9.9,8,1,3.1,8
2024,3,25,10,8,1,8.8,8,14.5,8,1,4,8,0,8,1,5,8,12,8,1,14,8,9.6,8,1,3.3,8
2024,3,26,10,8,1,9,8,23.5,8,1,4,8,0,8,1,5,8,9.8,8,1,14.1,8,4.3,8,1,3.4,8
2024,3,27,10,8,1,9.1,8,0,8,1,4,8,10.4,8,1,5.1,8,14.7,8,1,14.3,8,1.4,8,1,3.5,8
2024,3,28,10,8,1,9.3,8,6.5,8,1,4,8,0.4,8,1,5.2,8,17.2,8,1,14.4,8,4.6,8,1,3.6,8
2024,3,29,10,8,1,9.4,8,2.5,8,1,4,8,10.8,8,1,5.2,8,19.7,8,1,14.6,8,12.7,8,1,3.8,8
2024,3,30,10,8,1,9.6,8,0,8,1,4,8,7.9,8,1,5.3,8,21.1,8,1,14.8,8,12,8,1,3.9,8
2024,3,31,10,8,1,9.8,8,0,8,1,4,8,0.1,8,1,5.4,8,18,8,1,15,8,9.5,8,1,4.1,8
2024,4,1,10,8,1,10,8,0,8,1,4,8,10.3,8,1,5.5,8,16.8,8,1,15.2,8,5.4,8,1,4.2,8
2024,4,2,10,8,1,10.2,8,0,8,1,4,8,6.1,8,1,5.5,8,23.2,8,1,15.4,8,3.7,8,1,4.4,8
2024,4,3,10,8,1,10.3,8,43.5,8,1,4,8,0,8,1,5.6,8,18.7,8,1,15.6,8,12.9,8,1,4.5,8
2024,4,4,10,8,1,10.5,8,1,8,1,4,8,0,8,1,5.7,8,15.4,8,1,15.8,8,10,8,1,4.7,8
2024,4,5,10,8,1,10.7,8,0.5,8,1,3.9,8,10.3,8,1,5.7,8,15.5,8,1,16,8,6.3,8,1,4.8,8
2024,4,6,10,8,1,10.9,8,0,8,1,3.9,8,8.5,8,1,5.8,8,21,8,1,16.2,8,4.6,8,1,5,8
2024,4,7,10,8,1,11,8,0,8,1,3.8,8,8,8,1,5.8,8,22.2,8,1,16.3,8,7.2,8,1,5.1,8
2024,4,8,10,8,1,11.2,8,3,8,1,3.8,8,2.3,8,1,5.8,8,20.9,8,1,16.5,8,8.4,8,1,5.3,8
2024,4,9,10,8,1,11.4,8,18,8,1,3.8,8,0,8,1,5.9,8,13.8,8,1,16.7,8,5.3,8,1,5.5,8
2024,4,10,10,8,1,11.6,8,0,8,1,3.7,8,9.8,8,1,5.9,8,15.8,8,1,16.9,8,1.9,8,1,5.7,8
2024,4,11,10,8,1,11.8,8,0,8,1,3.7,8,5.6,8,1,6,8,22.1,8,1,17.1,8,5.1,8,1,5.8,8
2024,4,12,10,8,1,12,8,0,8,1,3.7,8,10.9,8,1,6,8,23.9,8,1,17.3,8,8.2,8,1,6,8
2024,4,13,10,8,1,12.2,8,0,8,1,3.7,8,12.4,8,1,6.1,8,25.5,8,1,17.5,8,7.6,8,1,6.2,8
2024,4,14,10,8,1,12.4,8,0,8,1,3.7,8,11.5,8,1,6.1,8,26.2,8,1,17.7,8,7.4,8,1,6.4,8
2024,4,15,10,8,1,12.5,8,1,8,1,3.7,8,2.1,8,1,6.2,8,26.3,8,1,18,8,9.6,8,1,6.6,8
2024,4,16,10,8,1,12.7,8,0.5,8,1,3.6,8,8.4,8,1,6.2,8,22.7,8,1,18.2,8,15.6,8,1,6.8,8
2024,4,17,10,8,1,12.9,8,0,8,1,3.6,8,9,8,1,6.2,8,21.5,8,1,18.4,8,10.9,8,1,7,8
2024,4,18,10,8,1,13.1,8,0,8,1,3.6,8,8.1,8,1,6.3,8,21.4,8,1,18.6,8,9,8,1,7.2,8
2024,4,19,10,8,1,13.3,8,0,8,1,3.6,8,12.4,8,1,6.3,8,22,8,1,18.8,8,6.8,8,1,7.4,8
2024,4,20,10,8,1,13.5,8,2,8,1,3.7,8,3,8,1,6.3,8,25.2,8,1,18.9,8,8.9,8,1,7.5,8
2024,4,21,10,8,1,13.6,8,5.5,8,1,3.7,8,0,8,1,6.4,8,16.9,8,1,19.1,8,13.6,8,1,7.7,8
2024,4,22,10,8,1,13.8,8,0,8,1,3.7,8,0,8,1,6.4,8,17,8,1,19.3,8,13.9,8,1,7.8,8
2024,4,23,10,8,1,14,8,5,8,1,3.7,8,0,8,1,6.5,8,18.8,8,1,19.4,8,13.4,8,1,8,8
2024,4,24,10,8,1,14.1,8,6.5,8,1,3.7,8,0.5,8,1,6.5,8,17.6,8,1,19.6,8,12.2,8,1,8.1,8
2024,4,25,10,8,1,14.3,8,0,8,1,3.7,8,12.7,8,1,6.6,8,21,8,1,19.8,8,10.7,8,1,8.3,8
2024,4,26,10,8,1,14.5,8,0,8,1,3.7,8,5.2,8,1,6.6,8,24.9,8,1,20,8,9.6,8,1,8.4,8
2024,4,27,10,8,1,14.7,8,0,8,1,3.7,8,8.1,8,1,6.7,8,26.1,8,1,20.2,8,13.5,8,1,8.6,8
2024,4,28,10,8,1,14.9,8,0,8,1,3.7,8,11,8,1,6.7,8,26.5,8,1,20.4,8,11,8,1,8.8,8
2024,4,29,10,8,1,15.1,8,12.5,8,1,3.8,8,0.8,8,1,6.8,8,23.3,8,1,20.6,8,14.6,8,1,9,8
2024,4,30,10,8,1,15.3,8,1,8,1,3.8,8,0,8,1,6.8,8,18.8,8,1,20.8,8,14.1,8,1,9.2,8
2024,5,1,10.1,8,1,15.5,8,0,8,1,3.9,8,0,8,1,6.8,8,15.7,8,1,21,8,9,8,1,9.4,8
2024,5,2,10.1,8,1,15.6,8,0,8,1,4,8,12.6,8,1,6.8,8,19.4,8,1,21.2,8,7.8,8,1,9.6,8
2024,5,3,10.1,8,1,15.8,8,0,8,1,4.1,8,12.9,8,1,6.8,8,23.7,8,1,21.4,8,6.1,8,1,9.8,8
2024,5,4,10.1,8,1,16,8,0,8,1,4.2,8,12.8,8,1,6.8,8,27.9,8,1,21.5,8,8.8,8,1,10,8
2024,5,5,10.1,8,1,16.1,8,0,8,1,4.4,8,8.4,8,1,6.7,8,30.4,8,1,21.7,8,11.1,8,1,10.1,8
2024,5,6,10.1,8,1,16.2,8,2.5,8,1,4.6,8,3.8,8,1,6.7,8,26.3,8,1,21.8,8,15.7,8,1,10.3,8
2024,5,7,10.1,8,1,16.3,8,2,8,1,4.8,8,0.8,8,1,6.7,8,19.7,8,1,21.8,8,12.8,8,1,10.4,8
2024,5,8,10.1,8,1,16.4,8,1.5,8,1,4.9,8,0.1,8,1,6.6,8,13.9,8,1,21.9,8,6.3,8,1,10.5,8
2024,5,9,10.1,8,1,16.5,8,0,8,1,5,8,12.4,5,1,6.6,8,18.3,8,1,22,8,5.8,8,1,10.6,8
2024,5,10,10.1,8,1,16.6,8,0,8,1,5.1,8,13.3,8,1,6.6,8,24.9,8,1,22,8,6.4,8,1,10.7,8
2024,5,11,10.1,8,1,16.7,8,0,8,1,5.1,8,10.4,8,1,6.6,8,27.8,8,1,22.1,8,10.9,8,1,10.8,8
2024,5,12,10.1,8,1,16.8,8,32.5,8,1,5,8,0,8,1,6.6,8,22,8,1,22.2,8,15.6,8,1,10.9,8
2024,5,13,10.1,8,1,16.9,8,5,8,1,4.9,8,9.4,8,1,6.6,8,20.6,8,1,22.3,8,8.4,8,1,11.1,8
2024,5,14,10.1,8,1,17,8,0,8,1,4.7,8,13.3,8,1,6.7,8,23.9,8,1,22.4,8,5,8,1,11.2,8
2024,5,15,10.1,8,1,17.1,8,0,8,1,4.5,8,8.2,8,1,6.7,8,25.9,8,1,22.6,8,7.8,8,1,11.3,8
2024,5,16,10.1,8,1,17.2,8,9,8,1,4.3,8,2.4,8,1,6.8,8,17.4,8,1,22.7,8,11,8,1,11.4,8
2024,5,17,10.1,8,1,17.4,8,0,8,1,4,8,13,8,1,6.8,8,22.8,8,1,22.9,8,9.7,8,1,11.5,8
2024,5,18,10.1,8,1,17.5,8,0,8,1,3.8,8,12.4,8,1,6.9,8,26.3,8,1,23.1,8,7.9,8,1,11.7,8
2024,5,19,10.1,8,1,17.7,8,0,8,1,3.7,8,0.6,8,1,7,8,24.6,8,1,23.2,8,10.5,8,1,11.8,8
2024,5,20,10.1,8,1,17.8,8,0,8,1,3.5,8,12.5,8,1,7,8,24.9,8,1,23.4,8,12.3,8,1,11.9,8
2024,5,21,10.1,8,1,17.9,8,0,8,1,3.4,8,12.2,8,1,7,8,23.1,8,1,23.6,8,14.3,8,1,12.1,8
2024,5,22,10.1,8,1,18.1,8,0,8,1,3.4,8,6.6,8,1,7,8,26.2,8,1,23.7,8,12.5,8,1,12.2,8
